Station ID,Station Name,Address,Total Docks,Docks in Service,Status,Latitude,Longitude,"Location,"
449,Clark St & Columbia Ave,Clark St & Columbia Ave,15,13,In Service,42.00445063,-87.67240241,"(42.00445062934, -87.6724024047)"
346,Ada St & Washington Blvd,Ada St & Washington Blvd,15,14,In Service,41.88283,-87.661206,"(41.88283, -87.661206)"
116,Western Ave & Winnebago Ave,Western Ave & Winnebago Ave,15,15,In Service,41.91552,-87.687022,"(41.91552, -87.687022)"
344,Ravenswood Ave & Lawrence Ave,Ravenswood Ave & Lawrence Ave,47,47,In Service,41.96909,-87.674237,"(41.96909, -87.674237)"
38,Clark St & Lake St,Clark St & Lake St,27,26,In Service,41.88602083,-87.63087606,"(41.88602082773, -87.6308760584)"
146,Loomis St & Jackson Blvd,Loomis St & Jackson Blvd,19,18,In Service,41.877945,-87.662007,"(41.877945, -87.662007)"
340,Clark St & Wrightwood Ave,Clark St & Wrightwood Ave,15,14,In Service,41.929546,-87.643118,"(41.929546, -87.643118)"
354,Sheridan Rd & Greenleaf Ave,Sheridan Rd & Greenleaf Ave,15,14,In Service,42.01058656,-87.6624121,"(42.01058656284, -87.6624120948)"
39,Wabash Ave & Adams St,Wabash Ave & Adams St,23,19,In Service,41.87947235,-87.62568861,"(41.87947235235, -87.6256886059)"
273,Michigan Ave & 18th St,Michigan Ave & 18th St,23,23,In Service,41.857813,-87.62455,"(41.857813, -87.62455)"
402,Shields Ave & 31st St,Shields Ave & 31st St,15,15,In Service,41.838464,-87.635406,"(41.838464, -87.635406)"
433,Kedzie Ave & Harrison St,Kedzie Ave & Harrison St,11,10,In Service,41.87359968,-87.70487075,"(41.87359967462, -87.7048707493)"
208,Ashland Ave & 21st St,Ashland Ave & 21st St,14,14,In Service,41.85381,-87.665897,"(41.85381, -87.665897)"
417,Cornell Ave & Hyde Park Blvd,Cornell Ave & Hyde Park Blvd,18,18,In Service,41.802406,-87.586924,"(41.802406, -87.586924)"
162,Damen Ave & Wellington Ave,Damen Ave & Wellington Ave,15,14,In Service,41.93588,-87.67842,"(41.93588, -87.67842)"
17,Honore St & Division St,W. Divison St,23,23,In Service,41.903119,-87.673935,"(41.903119, -87.673935)"
420,Ellis Ave & 55th St,Ellis Ave & 55th St,19,19,In Service,41.79430062,-87.60144977,"(41.79430062054, -87.6014497734)"
185,Stave St & Armitage Ave,Stave St & Armitage Ave,11,11,In Service,41.917741,-87.691392,"(41.917741, -87.691392)"
413,Woodlawn Ave & Lake Park Ave,Woodlawn Ave & Lake Park Ave,15,15,In Service,41.81409271,-87.59700515,"(41.81409271048, -87.5970051479)"
437,Washtenaw Ave & Ogden Ave (*),Washtenaw Ave & Ogden Ave (*),16,14,In Service,41.861894,-87.693511,"(41.861894, -87.693511)"
424,Museum of Science and Industry,Museum of Science and Industry,27,25,In Service,41.79172821,-87.58394501,"(41.79172820953, -87.583945009)"
152,Lincoln Ave & Diversey Pkwy,Lincoln Ave & Diversey Pkwy,15,13,In Service,41.932225,-87.658617,"(41.932225, -87.658617)"
423,University Ave & 57th St,Off Street,31,27,In Service,41.791478,-87.599861,"(41.791478, -87.599861)"
460,Clark St & Bryn Mawr Ave,Clark St & Bryn Mawr Ave,15,15,In Service,41.983593,-87.669154,"(41.983593, -87.669154)"
464,Damen Ave & Foster Ave,Damen Ave & Foster Ave,15,15,In Service,41.97561481,-87.67945904,"(41.97561480459, -87.6794590387)"
367,Racine Ave & 35th St,Racine Ave & 35th St,15,15,In Service,41.83069611,-87.65597591,"(41.83069611252, -87.6559759116)"
42,Wabash Ave & Cermak Rd,13 E Cermak Rd,11,11,In Service,41.852619,-87.626488,"(41.852619, -87.626488)"
442,California Ave & 23rd Pl,California Ave & 23rd Pl,11,11,In Service,41.84910969,-87.69513981,"(41.84910969176, -87.6951398068)"
450,Warren Park West,Warren Park West,15,15,In Service,42.001785,-87.688829,"(42.001785, -87.688829)"
458,Broadway & Thorndale Ave,Broadway & Thorndale Ave,19,19,In Service,41.98974251,-87.66014062,"(41.98974251144, -87.6601406209)"
496,Avers Ave & Belmont Ave,Avers Ave & Belmont Ave,11,10,In Service,41.939408,-87.723574,"(41.939408, -87.723574)"
40,LaSalle St & Adams St,LaSalle St & Adams St,15,14,In Service,41.87934437,-87.63198522,"(41.87934437346, -87.6319852213)"
451,Sheridan Rd & Loyola Ave,Sheridan Rd & Loyola Ave,23,22,In Service,42.00104378,-87.66119824,"(42.00104377979, -87.6611982433)"
453,Clark St & Schreiber Ave,Clark St & Schreiber Ave,15,13,In Service,41.99925182,-87.67137734,"(41.99925182186, -87.6713773393)"
457,Clark St & Elmdale Ave,Clark St & Elmdale Ave,19,18,In Service,41.990887,-87.669758,"(41.990887, -87.669758)"
461,Broadway & Ridge Ave,Broadway & Ridge Ave,15,14,In Service,41.98404461,-87.66027383,"(41.9840446107, -87.6602738295)"
497,Kimball Ave & Belmont Ave,Kimball Ave & Belmont Ave,15,15,In Service,41.939398,-87.711561,"(41.939398, -87.711561)"
508,Central Park Ave & North Ave,Central Park Ave & North Ave,15,15,In Service,41.90965688,-87.71663195,"(41.90965687563, -87.7166319516)"
548,Morgan St & Pershing Rd,Morgan St & Pershing Rd,11,10,In Service,41.823613,-87.650931,"(41.823613, -87.650931)"
567,May St & 69th St,May St & 69th St,11,11,In Service,41.768938,-87.652934,"(41.768938, -87.652934)"
515,Paulina St & Howard St,Paulina St & Howard St,19,19,In Service,42.019159,-87.673573,"(42.019159, -87.673573)"
592,Knox Ave & Montrose Ave,Knox Ave & Montrose Ave,11,10,In Service,41.960631,-87.745359,"(41.960631, -87.745359)"
591,Kilbourn Ave & Milwaukee Ave,Kilbourn Ave & Milwaukee Ave,15,14,In Service,41.948818,-87.74002,"(41.948818, -87.74002)"
7,Field Blvd & South Water St,Field Blvd & South Water St,19,18,In Service,41.88634906,-87.61751655,"(41.88634906269, -87.6175165471)"
9,Leavitt St & Archer Ave,NA1,15,15,In Service,41.82879202,-87.68060446,"(41.82879201994, -87.6806044594)"
87,Racine Ave & Fullerton Ave,2411 N Racine Ave,19,19,In Service,41.92556258,-87.65840426,"(41.92556258, -87.65840426)"
58,Marshfield Ave & Cortland St,Marshfield Ave & Cortland St,23,21,In Service,41.916017,-87.668879,"(41.916017, -87.668879)"
172,Rush St & Cedar St,Rush St & Cedar St,11,9,In Service,41.9023087,-87.62769053,"(41.90230870122, -87.627690528)"
293,Broadway & Wilson Ave,Broadway & Wilson Ave,23,22,In Service,41.965221,-87.658139,"(41.965221, -87.658139)"
75,Canal St & Jackson Blvd,Canal St & Jackson Blvd,39,37,In Service,41.877245,-87.639366,"(41.877245, -87.639366)"
156,Clark St & Wellington Ave,Clark St & Wellington Ave,15,15,In Service,41.93649682,-87.64753866,"(41.9364968219, -87.6475386582)"
325,Clark St & Winnemac Ave (Temp),Clark St & Winnemac Ave (Temp),19,16,In Service,41.973255,-87.6697,"(41.973255, -87.6697)"
74,Kingsbury St & Erie St,511 W Erie St,23,23,In Service,41.893626,-87.641527,"(41.893626, -87.641527)"
182,Wells St & Elm St,Wells St & Elm St,23,22,In Service,41.903222,-87.634324,"(41.903222, -87.634324)"
258,Logan Blvd & Elston Ave,Logan Blvd & Elston Ave,27,26,In Service,41.929465,-87.684158,"(41.929465, -87.684158)"
71,Morgan St & Lake St,1003 W. Lake St.,23,22,In Service,41.88548331,-87.65230486,"(41.8854833079, -87.6523048564)"
486,Oakley Ave & Irving Park Rd,Oakley Ave & Irving Park Rd,15,15,In Service,41.95434085,-87.68607962,"(41.95434085219, -87.6860796243)"
341,Adler Planetarium,Off Street,38,38,In Service,41.866095,-87.607267,"(41.866095, -87.607267)"
349,Halsted St & Wrightwood Ave,Halsted St & Wrightwood Ave,15,15,In Service,41.929143,-87.649077,"(41.929143, -87.649077)"
81,Daley Center Plaza,Daley Center Plaza,39,38,In Service,41.884241,-87.629634,"(41.884241, -87.629634)"
21,Aberdeen St & Jackson Blvd,1103 W.Jackson Blvd,23,23,In Service,41.87772613,-87.65478743,"(41.87772613, -87.65478743)"
36,Franklin St & Jackson Blvd,340 S. Franklin St,39,39,In Service,41.87770796,-87.63532114,"(41.8777079559, -87.6353211408)"
48,Larrabee St & Kingsbury St,840 N Larrabee St,43,43,In Service,41.897764,-87.642884,"(41.897764, -87.642884)"
76,Lake Shore Dr & Monroe St,402 E Monroe St,39,37,In Service,41.880958,-87.616743,"(41.880958, -87.616743)"
84,Milwaukee Ave & Grand Ave,500 N Milwaukee Ave.,19,15,In Service,41.891578,-87.648384,"(41.891578, -87.648384)"
128,Damen Ave & Chicago Ave,Damen Ave & Chicago Ave,19,19,In Service,41.895769,-87.67722,"(41.895769, -87.67722)"
13,Wilton Ave & Diversey Pkwy,2790 N.Wilton Ave,35,35,In Service,41.932418,-87.652705,"(41.932418, -87.652705)"
125,Rush St & Hubbard St,Rush St & Hubbard St,23,19,In Service,41.890173,-87.626185,"(41.890173, -87.626185)"
91,Clinton St & Washington Blvd,109 N Clinton St,31,29,In Service,41.88338,-87.64117,"(41.88338, -87.64117)"
96,Desplaines St & Randolph St,Desplaines St & Randolph St,23,22,In Service,41.88461619,-87.64457059,"(41.88461618962, -87.6445705849)"
228,Damen Ave & Melrose Ave,Damen Ave & Melrose Ave,15,14,In Service,41.9406,-87.6785,"(41.9406, -87.6785)"
242,Damen Ave & Leland Ave,Damen Ave & Leland Ave,15,15,In Service,41.967094,-87.679028,"(41.967094, -87.679028)"
250,Ashland Ave & Wellington Ave,Ashland Ave & Wellington Ave,19,19,In Service,41.936083,-87.669807,"(41.936083, -87.669807)"
386,Halsted St & 56th St,Halsted St & 56th St,11,10,In Service,41.79292965,-87.64499006,"(41.79292964599, -87.6449900565)"
384,Halsted St & 51st St,Halsted St & 51st St,10,10,In Service,41.80183164,-87.6452139,"(41.80183164049, -87.645213904)"
310,Damen Ave & Charleston St,Damen Ave & Charleston St,11,10,In Service,41.920082,-87.677855,"(41.920082, -87.677855)"
337,Clark St & Chicago Ave,Clark St & Chicago Ave,19,17,In Service,41.896544,-87.630931,"(41.896544, -87.630931)"
345,Lake Park Ave & 56th St,Lake Park Ave & 56th St,19,16,In Service,41.793242,-87.587782,"(41.793242, -87.587782)"
444,Albany Ave & 26th St,Albany Ave & 26th St,11,11,In Service,41.84447501,-87.70201301,"(41.84447501366, -87.7020130128)"
436,Fairfield Ave & Roosevelt Rd,Fairfield Ave & Roosevelt Rd,11,10,In Service,41.866624,-87.694521,"(41.866624, -87.694521)"
407,State St & Pershing Rd,State St & Pershing Rd,11,11,In Service,41.82301524,-87.62656802,"(41.82301523798, -87.6265680185)"
440,Central Park Ave & 24th St,Central Park Ave & 24th St,11,10,In Service,41.8481,-87.715068,"(41.8481, -87.715068)"
523,Eastlake Ter & Rogers Ave,Eastlake Ter & Rogers Ave,15,15,In Service,42.021019,-87.665086,"(42.021019, -87.665086)"
511,Albany Ave & Bloomingdale Ave,Albany Ave & Bloomingdale Ave,15,15,In Service,41.91402671,-87.70512646,"(41.91402671273, -87.705126462)"
490,Troy St & Elston Ave,Troy St & Elston Ave,15,15,In Service,41.94524357,-87.7066499,"(41.94524356848, -87.7066499009)"
538,Cicero Ave & Flournoy St,Cicero Ave & Flournoy St,11,11,In Service,41.872131,-87.746619,"(41.872131, -87.746619)"
578,Bennett Ave & 79th St,Bennett Ave & 79th St,11,10,In Service,41.751785,-87.578496,"(41.751785, -87.578496)"
188,Greenview Ave & Fullerton Ave,Greenview Ave & Fullerton Ave,15,14,In Service,41.92533,-87.6658,"(41.92533, -87.6658)"
279,Halsted St & 35th St (*),Halsted St & 35th St (*),16,15,In Service,41.830661,-87.647172,"(41.830661, -87.647172)"
230,Lincoln Ave & Roscoe St,Lincoln Ave & Roscoe St,19,19,In Service,41.94334,-87.67097,"(41.94334, -87.67097)"
239,Western Ave & Leland Ave,Western Ave & Leland Ave,19,18,In Service,41.966555,-87.688487,"(41.966555, -87.688487)"
102,Stony Island Ave & 67th St,Stony Island Ave & 67th St,11,11,In Service,41.7734585,-87.58533974,"(41.77345849948, -87.5853397391)"
503,Drake Ave & Fullerton Ave,Drake Ave & Fullerton Ave,15,15,In Service,41.92439882,-87.71544104,"(41.924398819, -87.7154410355)"
506,Spaulding Ave & Armitage Ave,Spaulding Ave & Armitage Ave,15,14,In Service,41.91718375,-87.71035665,"(41.91718375155, -87.7103566522)"
447,Glenwood Ave & Morse Ave,NA5,15,15,In Service,42.00797192,-87.66550239,"(42.00797192287, -87.6655023944)"
107,Desplaines St & Jackson Blvd,Desplaines St & Jackson Blvd,27,27,In Service,41.878287,-87.643909,"(41.878287, -87.643909)"
111,Sedgwick St & Huron St,Sedgwick St & Huron St,27,26,In Service,41.894666,-87.638437,"(41.894666, -87.638437)"
57,Clinton St & Roosevelt Rd,559 W Roosevelt Rd,15,15,In Service,41.86711778,-87.64108796,"(41.8671177825, -87.6410879593)"
66,Clinton St & Lake St,Clinton St & Lake St,23,21,In Service,41.885637,-87.641823,"(41.885637, -87.641823)"
343,Racine Ave & Wrightwood Ave,Racine Ave & Wrightwood Ave,15,15,In Service,41.928887,-87.658971,"(41.928887, -87.658971)"
419,Lake Park Ave & 53rd St,Lake Park Ave & 53rd St,15,14,In Service,41.79949429,-87.5864499,"(41.79949429373, -87.5864498959)"
53,Wells St & Huron St,Wells St & Huron St,27,27,In Service,41.894722,-87.634362,"(41.894722, -87.634362)"
462,Winchester (Ravenswood) Ave & Balmoral Ave,Winchester (Ravenswood) Ave & Balmoral Ave,15,15,In Service,41.979762,-87.67753,"(41.979762, -87.67753)"
425,Harper Ave & 59th St,Harper Ave & 59th St,15,13,In Service,41.78794281,-87.58831517,"(41.78794281287, -87.5883151702)"
284,Michigan Ave & Jackson Blvd,Michigan Ave & Jackson Blvd,23,22,In Service,41.87785,-87.62408,"(41.87785, -87.62408)"
289,Wells St & Concord Ln,Wells St & Concord Ln,19,19,In Service,41.912133,-87.634656,"(41.912133, -87.634656)"
300,Broadway & Barry Ave,Broadway & Barry Ave,19,19,In Service,41.937725,-87.644095,"(41.937725, -87.644095)"
232,Pine Grove Ave & Waveland Ave,Pine Grove Ave & Waveland Ave,23,20,In Service,41.949275,-87.646303,"(41.949275, -87.646303)"
478,Rockwell St & Eastwood Ave,Rockwell St & Eastwood Ave,15,14,In Service,41.96590014,-87.69363849,"(41.96590013976, -87.6936384935)"
50,Clark St & Congress Pkwy,Clark St & Congress Pkwy,35,33,In Service,41.87593267,-87.63058454,"(41.8759326655, -87.6305845355)"
166,Ashland Ave & Wrightwood Ave,Ashland Ave & Wrightwood Ave,15,15,In Service,41.92883,-87.668507,"(41.92883, -87.668507)"
209,Normal Ave & Archer Ave,Normal Ave & Archer Ave,11,10,In Service,41.849527,-87.640591,"(41.849527, -87.640591)"
138,Clybourn Ave & Division St,Clybourn Ave & Division St,15,15,In Service,41.904613,-87.640552,"(41.904613, -87.640552)"
173,Mies van der Rohe Way & Chicago Ave,Mies van der Rohe Way & Chicago Ave,15,15,In Service,41.89691,-87.621743,"(41.89691, -87.621743)"
141,Clark St & Lincoln Ave,Clark St & Lincoln Ave,23,23,In Service,41.915689,-87.6346,"(41.915689, -87.6346)"
16,Paulina Ave & North Ave,1575 N Paulina Ave,15,13,In Service,41.910337,-87.670072,"(41.910337, -87.670072)"
176,Clark St & Elm St,Clark St & Elm St,38,36,In Service,41.902973,-87.63128,"(41.902973, -87.63128)"
179,MLK Jr Dr & Pershing Rd,Off Steet,15,13,In Service,41.8246,-87.61678,"(41.8246, -87.61678)"
251,Clarendon Ave & Leland Ave,Clarendon Ave & Leland Ave,15,14,In Service,41.967968,-87.650001,"(41.967968, -87.650001)"
257,Lincoln Ave & Waveland Ave,Lincoln Ave & Waveland Ave,15,15,In Service,41.948797,-87.675278,"(41.948797, -87.675278)"
267,Lake Park Ave & 47th St,Lake Park Ave & 47th St,15,15,In Service,41.809443,-87.591875,"(41.809443, -87.591875)"
29,Noble St & Milwaukee Ave,1016 N. Noble St,15,15,In Service,41.90068,-87.6626,"(41.90068, -87.6626)"
260,Kedzie Ave & Milwaukee Ave,Kedzie Ave & Milwaukee Ave,35,35,In Service,41.929567,-87.707857,"(41.929567, -87.707857)"
23,Orleans St & Elm St (*),350 W. Elm st,16,16,In Service,41.902924,-87.637715,"(41.902924, -87.637715)"
219,Damen Ave & Cortland St,Damen Ave & Cortland St,15,15,In Service,41.915972,-87.677652,"(41.915972, -87.677652)"
229,Southport Ave & Roscoe St,Southport Ave & Roscoe St,19,18,In Service,41.943739,-87.66402,"(41.943739, -87.66402)"
238,Wolcott (Ravenswood) Ave & Montrose Ave (*),Wolcott (Ravenswood) Ave & Montrose Ave (*),16,15,In Service,41.961305,-87.675951,"(41.961305, -87.675951)"
245,Clarendon Ave & Junior Ter,Clarendon Ave & Junior Ter,23,22,In Service,41.961004,-87.649603,"(41.961004, -87.649603)"
25,Michigan Ave & Pearson St,150 E.Pearson st,23,19,In Service,41.89766,-87.62351,"(41.89766, -87.62351)"
283,LaSalle St & Jackson Blvd,LaSalle St & Jackson Blvd,35,32,In Service,41.878217,-87.631242,"(41.878217, -87.631242)"
276,California Ave & North Ave,California Ave & North Ave,11,11,In Service,41.91044,-87.6972,"(41.91044, -87.6972)"
291,Wells St & Evergreen Ave,Wells St & Evergreen Ave,19,18,In Service,41.906724,-87.63483,"(41.906724, -87.63483)"
353,Clark St & Touhy Ave,Clark St & Touhy Ave,14,14,In Service,42.01256012,-87.67436712,"(42.01256011541, -87.6743671152)"
403,Wentworth Ave & 33rd St,Wentworth Ave & 33rd St,15,14,In Service,41.83452989,-87.63182298,"(41.83452988563, -87.6318229814)"
330,Lincoln Ave & Addison St,Lincoln Ave & Addison St,19,19,In Service,41.946176,-87.673308,"(41.946176, -87.673308)"
422,DuSable Museum,DuSable Museum,15,14,In Service,41.79156801,-87.60785218,"(41.79156801058, -87.6078521774)"
312,Clarendon Ave & Gordon Ter,Clarendon Ave & Gordon Ter,15,14,In Service,41.957879,-87.649519,"(41.957879, -87.649519)"
352,Jeffery Blvd & 67th St,Jeffery Blvd & 67th St,11,11,In Service,41.77351755,-87.57714283,"(41.77351755125, -87.5771428255)"
428,Dorchester Ave & 63rd St,Dorchester Ave & 63rd St,11,9,In Service,41.78040565,-87.59141599,"(41.7804056457, -87.5914159893)"
434,Ogden Ave & Roosevelt Rd,Ogden Ave & Roosevelt Rd,18,17,In Service,41.86650148,-87.68469707,"(41.86650148316, -87.68469707)"
41,Federal St & Polk St,Federal St & Polk St,19,18,In Service,41.87207763,-87.62954377,"(41.87207763285, -87.6295437729)"
43,Michigan Ave & Washington St,120 N Michigan,43,41,In Service,41.88389277,-87.62464914,"(41.8838927658, -87.6246491409)"
44,State St & Randolph St,State St & Randolph St,27,26,In Service,41.8847302,-87.62773357,"(41.8847302006, -87.6277335692)"
597,Chicago Ave & Washington St,Chicago Ave & Washington St,15,15,In Service,42.032562,-87.679101,"(42.032562, -87.679101)"
519,Wolcott Ave & Fargo Ave,Wolcott Ave & Fargo Ave,11,11,In Service,42.016977,-87.677725,"(42.016977, -87.677725)"
69,Damen Ave & Pierce Ave,2002 W Pierce Ave,23,22,In Service,41.90939601,-87.67769193,"(41.9093960065, -87.6776919292)"
510,Spaulding Ave & Division St,Spaulding Ave & Division St,15,15,In Service,41.90270659,-87.70921957,"(41.90270659438, -87.709219571)"
46,Wells St & Walton St,932 N Wells St,19,18,In Service,41.89993001,-87.63443007,"(41.89993001, -87.63443007)"
505,Winchester Ave & Elston Ave,Winchester Ave & Elston Ave,15,13,In Service,41.92409085,-87.67646008,"(41.92409085038, -87.6764600747)"
62,McCormick Place,2253 S Dr Martin Luther King Jr Dr,27,25,In Service,41.85137517,-87.61883465,"(41.8513751729, -87.6188346489)"
77,Clinton St & Madison St,5 N Clinton St,31,29,In Service,41.882242,-87.641066,"(41.882242, -87.641066)"
549,Marshfield Ave & 44th St,Marshfield Ave & 44th St,11,11,In Service,41.813996,-87.666589,"(41.813996, -87.666589)"
145,Mies van der Rohe Way & Chestnut St,Mies van der Rohe Way & Chestnut St,19,18,In Service,41.89858665,-87.62191523,"(41.8985866514, -87.6219152258)"
